path,sandbox,external_ref_count,purpose_summary,doc_family,doc_type,borghei_analog,mutability_class,rogue_reference_kind,priority,recommended_option,handling_suggestion,handle,migration_status
assets/docs/archive/018-e2e/fixture-manifest.md,assets/docs,8,E2e seed data contract for Gherkin,executable_contract,bdd_test_contract,cs-doc-writer API/contract docs + documentation-standards special API doc (normative payloads),feature_scoped_scratchpad,markdown_link,P0,B,Promote content to TESTING_GUIDE/BDD guides or assets/features/e2e/contracts/; specs copy becomes scratchpad mirror,assets/guides/BDD_GUIDE.md,pending
assets/docs/archive/001-foundation/design.md,assets/docs,17,FCIS architecture ADRs; layer rules; stack choices,architecture,architecture_decision_record_set,documentation-standards Decision Record + cs-architecture-reviewer ADR workflow,feature_scoped_scratchpad,markdown_link,P0,B,Distill immovable decisions into assets/guides (FCIS/ELECTROBUN); treat spec as historical; agents read guides only,assets/guides/FCIS.guide.md,promoted_slice
assets/docs/archive/README.md,assets/docs,8,Legacy spec library index,catalog,library_index,documentation-standards README structure / agent catalog pointer,feature_scoped_scratchpad,markdown_link,P1,A,Remove from CLAUDE/agents/skills; use assets/catalog/library.yaml via scan; task-scoped slug open only,assets/catalog/library.yaml,keep
assets/docs/archive/018-e2e/design.md,assets/docs,5,E2e harness architecture,feature_sdd,sdd_design,cs-architecture-reviewer migration/implementation plan artifacts,feature_scoped_scratchpad,markdown_link,P0,B,Strip inbound links from guides; retain for e2e feature implementors only,assets/guides/TESTING_GUIDE.md,partial
assets/docs/archive/018-e2e/requirements.md,assets/docs,5,EARS incl. R11 cross-feature e2e policy,cross_feature_policy,sdd_requirements_policy,documentation-standards Decision Record + living CLAUDE/AGENTS (policy wrongly placed in feature spec),feature_scoped_scratchpad,markdown_link,P0,B,Extract R11 to TESTING_GUIDE/DoD; keep 018-e2e requirements feature-scoped only,assets/guides/DoD.md,promoted_slice
assets/docs/archive/018-e2e/step-catalog.md,assets/docs,5,Gherkin phrase to step map,executable_contract,bdd_test_contract,cs-doc-writer API/contract docs + documentation-standards special API doc (normative payloads),feature_scoped_scratchpad,markdown_link,P0,B,Promote content to TESTING_GUIDE/BDD guides or assets/features/e2e/contracts/; specs copy becomes scratchpad mirror,assets/guides/BDD_GHERKIN_GUIDE.md,pending
assets/catalog/library.yaml,assets/catalog,4,NNN slug YAML index for legacy spec library,machine_manifest,catalog_index_yaml,cs-architecture-reviewer dependency/project map output (YAML not prose),feature_scoped_scratchpad,markdown_link,Keep,A,Generated YAML index; opencode + tools/catalog only; never link from guides/agents,tools/governance/specs/library_manifest.script.ts,keep
assets/docs/archive/018-e2e/tasks.md,assets/docs,3,E2e rollout checklist,feature_sdd,sdd_tasks,cs-architecture-reviewer migration/implementation plan artifacts,feature_scoped_scratchpad,markdown_link,P0,B,Strip inbound links from guides; retain for e2e feature implementors only,assets/guides/TESTING_GUIDE.md,partial
assets/docs/archive/017-design-polishing/design.md,assets/docs,3,UI polish / list styling rationale,feature_sdd,sdd_design,cs-doc-writer Workflow 3 architecture doc OR feature design,feature_scoped_scratchpad,markdown_link,P1,B,Migrate tokens/rationale to STYLING_GUIDE; remove src CSS comment link to spec,assets/guides/STYLING_GUIDE.md,promoted_slice
assets/docs/archive/PRODUCT_DESIGN.md,assets/docs,3,Part II pilot design rollup (rejected),throwaway,rejected_rollup,NOT living documentation—discard per doc-standards stale removal,feature_scoped_scratchpad,markdown_link,P1,B,Delete or archive; remove all agent_entry links; do not migrate to guides,(delete),absent
assets/docs/archive/001-foundation/requirements.md,assets/docs,2,Foundation EARS requirements V1-x,feature_sdd,sdd_requirements,cs-architecture-reviewer system design / roadmap (project-lifetime living during build),feature_scoped_scratchpad,markdown_link,P0,B,Remove from CLAUDE.md; roadmap stays scratchpad unless promoted to assets/guides/SDD_WORKFLOW,(scratchpad),pending
assets/docs/archive/001-foundation/roadmap.md,assets/docs,2,Phase sequence and dev loop,feature_sdd,sdd_roadmap,cs-architecture-reviewer system design / roadmap (project-lifetime living during build),feature_scoped_scratchpad,markdown_link,P0,B,Remove from CLAUDE.md; roadmap stays scratchpad unless promoted to assets/guides/SDD_WORKFLOW,assets/guides/DoD.md,pending
assets/docs/archive/014-command-palette-filter-ux/design.md,assets/docs,2,Filter UX design,feature_sdd,sdd_design,cs-doc-writer Workflow 3 architecture doc OR feature design,feature_scoped_scratchpad,markdown_link,P2,A,Remove README marketing links; task-scoped access only,(scratchpad),done
assets/docs/archive/016-debugging/design.md,assets/docs,2,Logging/debug architecture,feature_sdd,sdd_design,cs-doc-writer Workflow 3 architecture doc OR feature design,feature_scoped_scratchpad,markdown_link,P1,B,Migrate normative parts to LOGGING_GUIDE/CRG.md/CI_GUIDE; leave spec as scratchpad,assets/guides/LOGGING_GUIDE.md,promoted_slice
assets/docs/archive/PRODUCT_REQUIREMENTS.md,assets/docs,2,Part II pilot requirements rollup (rejected),throwaway,rejected_rollup,NOT living documentation—discard per doc-standards stale removal,feature_scoped_scratchpad,markdown_link,P1,B,Delete or archive; remove all agent_entry links; do not migrate to guides,(delete),absent
