path , current_top_folder , current_subpath , artifact_type , role_candidate , domain_area , purpose_family , proposed_home , coupling_role , one_line_purpose , grouping_question , lifecycle_stage , disposition , confidence
tools/act/event.json , act , act , json_data , fixture_static , fixture , orchestration/fixtures , tools/orchestration/fixtures/event.json , fixtures , act CI event fixture , , ci , keep , high
tools/benchmarks/README.md , benchmarks , benchmarks , markdown_doc , doc_harness , perf , metrics/harnesses/perf , tools/metrics/harnesses/perf/README.md , doc , Perf harness docs; perf logic inline in mise.toml today , Extract perf harness to metrics/harnesses/perf/perf.script.ts , on_demand , relocate , high
tools/benchmarks/results/2026-05-17T06-54-24/result.json , benchmarks , benchmarks/results/2026-05-17T06-54-24 , json_data , generated_output , perf , metrics/generated/perf , tmp/metrics/perf/runs/2026-05-17T06-54-24/result.json , review , Single perf run artifact , Logical family metrics/generated; physical path under tmp/ not tools/ , on_demand , gitignore , high
tools/benchmarks/results/2026-05-17T07-42-01/result.json , benchmarks , benchmarks/results/2026-05-17T07-42-01 , json_data , generated_output , perf , metrics/generated/perf , tmp/metrics/perf/runs/2026-05-17T07-42-01/result.json , review , Single perf run artifact , Logical family metrics/generated; physical path under tmp/ not tools/ , on_demand , gitignore , high
tools/benchmarks/results/2026-05-17T08-30-31/result.json , benchmarks , benchmarks/results/2026-05-17T08-30-31 , json_data , generated_output , perf , metrics/generated/perf , tmp/metrics/perf/runs/2026-05-17T08-30-31/result.json , review , Single perf run artifact , Logical family metrics/generated; physical path under tmp/ not tools/ , on_demand , gitignore , high
tools/benchmarks/results/2026-05-17T12-34-18/result.json , benchmarks , benchmarks/results/2026-05-17T12-34-18 , json_data , generated_output , perf , metrics/generated/perf , tmp/metrics/perf/runs/2026-05-17T12-34-18/result.json , review , Single perf run artifact , Logical family metrics/generated; physical path under tmp/ not tools/ , on_demand , gitignore , high
tools/benchmarks/results/baseline.json , benchmarks , benchmarks/results , json_data , baseline_data , perf , metrics/baselines/perf , tools/metrics/baselines/perf/baseline.json , review , Promoted perf reference for compare gate , Baseline is data plane — sibling to harnesses under metrics/ , on_demand , relocate , high
tools/benchmarks/results/latest.json , benchmarks , benchmarks/results , json_data , generated_output , perf , metrics/generated/perf , tmp/metrics/perf/latest.json , review , Latest perf run snapshot (ephemeral) , Logical family metrics/generated; physical path under tmp/ , on_demand , gitignore , high
tools/build/renderer_log_env.script.ts , build , build , typescript_executable , app_build_plugin , build , dev/build , tools/dev/build/renderer_log_env.script.ts , app-coupled , Electrobun bundler plugin for log env , , build_time , keep , high
tools/build/tsconfig_paths.script.ts , build , build , typescript_executable , app_build_plugin , build , dev/build , tools/dev/build/tsconfig_paths.script.ts , app-coupled , Electrobun bundler tsconfig paths plugin , , build_time , keep , high
tools/catalog/catalog.script.ts , catalog , catalog , typescript_executable , domain_catalog , catalog , governance/registries , tools/governance/registries/catalog/catalog.script.ts , library , Load catalog.yaml; resolve keys and list rows , , on_demand , keep , high
tools/catalog/catalog_ship.script.ts , catalog , catalog , typescript_executable , domain_catalog , catalog , governance/registries , tools/governance/registries/catalog/catalog_ship.script.ts , library , Ship-gate readiness check for a catalog key , , on_demand , keep , high
tools/catalog/catalog_validate.script.ts , catalog , catalog , typescript_executable , domain_catalog , catalog , governance/registries , tools/governance/registries/catalog/catalog_validate.script.ts , library , "Validate catalog schema, tags, placement, orphans" , , on_demand , keep , high
tools/catalog/catalog_validate.types.ts , catalog , catalog , typescript_types , test_or_types_for_domain , catalog , governance/registries , tools/governance/registries/catalog/catalog_validate.types.ts , library , Types for catalog validate/ship payloads , , on_demand , keep , high
tools/catalog/tag.script.ts , catalog , catalog , typescript_executable , domain_catalog , catalog , governance/registries , tools/governance/registries/catalog/tag.script.ts , library , Grep @catalog tags; list/run tagged tests , , on_demand , keep , high
tools/cli/gum_theme.script.ts , cli , cli , typescript_executable , lib_cli , cli , support/lib , tools/support/lib/cli/gum_theme.script.ts , library , Gum terminal styling helpers , , on_demand , keep , high
tools/cli/render_mode.script.ts , cli , cli , typescript_executable , lib_cli , cli , support/lib , tools/support/lib/cli/render_mode.script.ts , library , Choose json/raw/tty render mode , , on_demand , keep , high
tools/container-structure-test.yml , container-structure-test.yml , container-structure-test.yml , yaml_config , policy_container , other , governance/policies , tools/governance/policies/container-structure-test.yml , entrypoint , Container structure test config for mise CST , , ci , keep , high
tools/e2e/e2e_metrics.script.ts , e2e , e2e , typescript_executable , harness_e2e_quality , e2e , metrics/harnesses/e2e-quality , tools/metrics/harnesses/e2e-quality/e2e_metrics.script.ts , library , "E2e run metrics report, compare, baseline" , Baseline stays assets/docs/specs/e2e/quality-baseline.json , on_demand , relocate , high
tools/hooks/commit_message.script.ts , hooks , hooks , typescript_executable , entrypoint_git_hook , hooks , governance/policies , tools/governance/policies/hooks/commit_message.script.ts , entrypoint , HK commit message policy validator , Defines policy; HK fires it , pre_commit , keep , high
tools/mise/catalog.script.ts , mise , mise , typescript_executable , entrypoint_mise , cross_task , bin , tools/bin/catalog.script.ts , entrypoint , Thin shim: delegates to governance/registries/catalog , , dev_loop , relocate , high
tools/mise/test.script.ts , mise , mise , typescript_executable , entrypoint_mise , cross_task , bin , tools/bin/test.script.ts , entrypoint , "mise run test dispatcher (unit, ci, e2e, tag, …)" , , dev_loop , relocate , high
tools/preview/mock_electroview.script.ts , preview , preview , typescript_executable , app_coupled_dev , preview , dev/preview , tools/dev/preview/mock_electroview.script.ts , app-coupled , Preview mock for renderer fetch/RPC , , dev_loop , review , med
tools/preview/server.script.ts , preview , preview , typescript_executable , app_coupled_dev , preview , dev/preview , tools/dev/preview/server.script.ts , app-coupled , Preview dev server hosting RPC + renderer , , dev_loop , keep , high
tools/rules/no-await-in-promise-all.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-await-in-promise-all.rule.yml , policy , ast-grep structural lint rule , Defer rules/ rename to governance/policies/ast-grep/ , pre_commit , keep , high
tools/rules/no-bun-in-core.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-bun-in-core.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-bun-test-helper-outside-tests.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-bun-test-helper-outside-tests.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-console-in-src.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-console-in-src.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-context-alias.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-context-alias.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-inbound-assets-docs-html.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-inbound-assets-docs-html.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-inbound-assets-docs-json.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-inbound-assets-docs-json.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-inbound-assets-docs-ts.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-inbound-assets-docs-ts.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-inbound-assets-docs-yaml.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-inbound-assets-docs-yaml.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-renderer-app-import.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-renderer-app-import.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-test-fn-in-specs.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-test-fn-in-specs.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-test-helper-filename-outside-tests.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-test-helper-filename-outside-tests.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/no-zod-in-routes.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/no-zod-in-routes.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/tools-must-use-script-suffix.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/tools-must-use-script-suffix.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/rules/tools-rules-must-use-rule-suffix.rule.yml , rules , rules , ast_grep_rule , policy_lint , lint_policy , governance/policies , tools/governance/policies/ast-grep/tools-rules-must-use-rule-suffix.rule.yml , policy , ast-grep structural lint rule , , pre_commit , keep , high
tools/scripts/check_renderer_css_tokens.sh , scripts , scripts , shell_script , bash_helper , shell , orchestration/scripts , tools/orchestration/scripts/check_renderer_css_tokens.sh , entrypoint , Shell script helper , , ci , keep , high
tools/scripts/check_spec_testing_guide.sh , scripts , scripts , shell_script , bash_helper , shell , orchestration/scripts , tools/orchestration/scripts/check_spec_testing_guide.sh , entrypoint , Shell script helper , , ci , keep , high
tools/scripts/compile_renderer_styles.sh , scripts , scripts , shell_script , bash_helper , shell , orchestration/scripts , tools/orchestration/scripts/compile_renderer_styles.sh , entrypoint , Shell script helper , , ci , keep , high
tools/shared/repo_root.script.ts , shared , shared , typescript_executable , lib_shared , shared , support/lib , tools/support/lib/shared/repo_root.script.ts , library , Resolve git repository root , , on_demand , keep , high
tools/shared/spawn_inherit.script.ts , shared , shared , typescript_executable , lib_shared , shared , support/lib , tools/support/lib/shared/spawn_inherit.script.ts , library , Spawn subprocess with inherited stdio , , on_demand , keep , high
tools/skill/skill_output.script.ts , skill , skill , typescript_executable , domain_skill , skill , governance/registries , tools/governance/registries/skill/skill_output.script.ts , library , "Render validate/list output (gum, json, raw)" , , on_demand , keep , high
tools/skill/skill_output_theme.script.ts , skill , skill , typescript_executable , domain_skill , skill , governance/registries , tools/governance/registries/skill/skill_output_theme.script.ts , library , Skill CLI theme badges and colors , , on_demand , keep , high
tools/skill/skill_registry.script.ts , skill , skill , typescript_executable , domain_and_entrypoint_skill , skill , governance/registries , tools/governance/registries/skill/skill_registry.script.ts , dual-role , "Skill registry CLI (validate, sync, add, create)" , Extract thin bin/skill.script.ts shim before folder move , on_demand , keep , med
tools/skill/skill_registry.types.ts , skill , skill , typescript_types , types_for_domain , skill , governance/registries , tools/governance/registries/skill/skill_registry.types.ts , library , Skill registry TypeScript types , , on_demand , keep , high
tools/skill/skill_registry_core.script.ts , skill , skill , typescript_executable , domain_skill , skill , governance/registries , tools/governance/registries/skill/skill_registry_core.script.ts , library , "Registry load, lockfile, install paths" , , on_demand , keep , high
